Value Date,Statement Date,Currency,Amount,Beneficiary/ Remitter,Customer Reference,Type,Bank Reference,Description
04/17/2025,04/17/2025,ZAR,'-5000000,,820 0201523001,DE-Data Entry,3935930991,TARGET BALANCING SWEEP (EOD)
04/17/2025,04/17/2025,ZAR,5000000,(CS)QPP50004S10736493331,FSK ELECTRAMECOR,FT-Funds Transfer,5107029424,INCOMING CLEARING TRANSFER
04/30/2025,04/30/2025,ZAR,'-3000000,,820 0201523001,DE-Data Entry,3946248656,TARGET BALANCING SWEEP (EOD)
04/30/2025,04/30/2025,ZAR,3000000,(CS)QPP50005S12037591238,FSK ELECTRAMECOR,FT-Funds Transfer,5120043516,INCOMING CLEARING TRANSFER
05/30/2025,05/30/2025,ZAR,'-1500000,,820 0201523001,DE-Data Entry,3964145788,TARGET BALANCING SWEEP (EOD)
05/30/2025,05/30/2025,ZAR,500000,(CS)QPP50009S15030135603,FSK ELECTRAMECOR,FT-Funds Transfer,5150046204,INCOMING CLEARING TRANSFER
05/30/2025,05/30/2025,ZAR,1000000,(CS)QPP50008S15030135637,FSK ELECTRAMECOR,FT-Funds Transfer,5150051462,INCOMING CLEARING TRANSFER
06/30/2025,06/30/2025,ZAR,'-1500000,,820 0201523001,DE-Data Entry,3990104484,TARGET BALANCING SWEEP (EOD)
06/30/2025,06/30/2025,ZAR,1500000,(CS)QPP50009S18132736972,FSK ELECTRAMECOR,FT-Funds Transfer,5181124610,INCOMING CLEARING TRANSFER
07/31/2025,07/31/2025,ZAR,"'-1,911,566.02",,820 0201523001,DE-Data Entry,4009955768,TARGET BALANCING SWEEP (EOD)
07/31/2025,07/31/2025,ZAR,1750000,(CS)QPP50007S21235170287,FSK ELECTRAMECOR,FT-Funds Transfer,5212040354,INCOMING CLEARING TRANSFER
07/31/2025,07/31/2025,ZAR,"'-88,433.98",ASSA ABLOY FINANCIAL SERVICES AB,20950P1FR2O,FT-Funds Transfer,3521006156,CUSTOMER  WIRE TRANSFER
07/31/2025,07/31/2025,ZAR,250000,(CS)QPP50006S21235170309,FSK ELECTRAMECOR,FT-Funds Transfer,5212038690,INCOMING CLEARING TRANSFER
08/13/2025,08/13/2025,ZAR,361.1,,820 0201523001,DE-Data Entry,4016123136,TARGET BALANCING SWEEP (EOD)
08/13/2025,08/13/2025,ZAR,'-361.10,,ZA1ZGBS25225029E,DE-Data Entry,825846032,MONTHLY CASH BILLING INVOICE PAID
08/21/2025,08/21/2025,ZAR,499.1,,820 0201523001,DE-Data Entry,4020245078,TARGET BALANCING SWEEP (EOD)
08/21/2025,08/21/2025,ZAR,'-499.10,MICRO ROBOTICS,23050PS0O47,FT-Funds Transfer,3523306392,OUTGOING CLEARING TRANSFER
08/29/2025,08/29/2025,ZAR,1000000,(CS)QPP50002S24137597061,FSK ELECTRAMECOR,FT-Funds Transfer,5241055014,INCOMING CLEARING TRANSFER
08/29/2025,08/29/2025,ZAR,'-1000000,,820 0201523001,DE-Data Entry,4024149041,TARGET BALANCING SWEEP (EOD)
9/11/2025,9/11/2025,ZAR,125.35,,820 0201523001,DE-Data Entry,4032548265,TARGET BALANCING SWEEP (EOD)
9/11/2025,9/11/2025,ZAR,'-125.35,,ZA1ZGBS2525401SE,DE-Data Entry,925846037,MONTHLY CASH BILLING INVOICE PAID
09/25/2025,09/25/2025,ZAR,3500000,,820 0201523001,DE-Data Entry,4040034789,TARGET BALANCING SWEEP (EOD)
09/25/2025,09/25/2025,ZAR,'-3500000,AMECOR (PTY) LTD,26850R6YCK6,FT-Funds Transfer,3526818634,OUTGOING CLEARING TRANSFER
09/30/2025,09/30/2025,ZAR,1000000,(CS)QPP50009S27330128898,FSK ELECTRAMECOR,FT-Funds Transfer,5273032329,INCOMING CLEARING TRANSFER
09/30/2025,09/30/2025,ZAR,'-1000000,,820 0201523001,DE-Data Entry,4044112392,TARGET BALANCING SWEEP (EOD)
10/13/2025,10/13/2025,ZAR,"'-5,650,599.14",ASSA ABLOY LIMITED,28350RQQK30,FT-Funds Transfer,3528306342,CUSTOMER  WIRE TRANSFER
10/13/2025,10/13/2025,ZAR,"5,650,599.14",,820 0201523001,DE-Data Entry,4054102618,TARGET BALANCING SWEEP (EOD)
10/28/2025,10/28/2025,ZAR,'-2000000,,820 0201523001,DE-Data Entry,4062019027,TARGET BALANCING SWEEP (EOD)
10/28/2025,10/28/2025,ZAR,2000000,(CS)QPP50005S30132217294,FSK ELECTRAMECOR,FT-Funds Transfer,5301017464,INCOMING CLEARING TRANSFER
10/31/2025,10/31/2025,ZAR,1750000,(CS)QPP50008S30432729206,FSK ELECTRAMECOR,FT-Funds Transfer,5304041354,INCOMING CLEARING TRANSFER
10/31/2025,10/31/2025,ZAR,250000,(CS)QPP50013S30432731948,FSK ELECTRAMECOR,FT-Funds Transfer,5304036972,INCOMING CLEARING TRANSFER
10/31/2025,10/31/2025,ZAR,'-2000000,,820 0201523001,DE-Data Entry,4061842615,TARGET BALANCING SWEEP (EOD)
11/13/2025,11/13/2025,ZAR,361.1,,820 0201523001,DE-Data Entry,4068121328,TARGET BALANCING SWEEP (EOD)
11/13/2025,11/13/2025,ZAR,'-361.10,,ZA1ZGBS2531702H6,DE-Data Entry,1125846034,MONTHLY CASH BILLING INVOICE PAID
11/28/2025,11/28/2025,ZAR,'-3000000,,820 0201523001,DE-Data Entry,4078361789,TARGET BALANCING SWEEP (EOD)
11/28/2025,11/28/2025,ZAR,3000000,(CS)QPP50009S33234893221,FSK ELECTRAMECOR,FT-Funds Transfer,5332036496,INCOMING CLEARING TRANSFER
12/19/2025,12/19/2025,ZAR,'-4000000,AMECOR (PTY) LTD,35350UD319N,FT-Funds Transfer,3535305088,OUTGOING CLEARING TRANSFER
12/19/2025,12/19/2025,ZAR,4000000,,820 0201523001,DE-Data Entry,4087842989,TARGET BALANCING SWEEP (EOD)
12/29/2025,12/29/2025,ZAR,493.51,,820 0201523001,DE-Data Entry,4097804626,TARGET BALANCING SWEEP (EOD)
12/29/2025,12/29/2025,ZAR,'-493.51,ASSA ABLOY KZN OPERATIONS,36350UNKXJ3,FT-Funds Transfer,5363128936,INTERNAL TRANSFER
12/30/2025,12/30/2025,ZAR,"'-1,558,266.71",INHEP ELECTRONICS HOLDINGS,36350UNNQP1,FT-Funds Transfer,3536309204,INTERNAL TRANSFER
12/30/2025,12/30/2025,ZAR,"1,633,022.06",,820 0201523001,DE-Data Entry,4095619720,TARGET BALANCING SWEEP (EOD)
12/30/2025,12/30/2025,ZAR,"'-74,755.35",ASSA ABLOY FINANCIAL SERVICES AB,34550U0NLLQ,FT-Funds Transfer,3535304609,CUSTOMER  WIRE TRANSFER
12/31/2025,12/31/2025,ZAR,"4,917,896.16",,820 0201523001,DE-Data Entry,4095630895,TARGET BALANCING SWEEP (EOD)
12/31/2025,12/31/2025,ZAR,"'-4,917,896.16",ASSA ABLOY LIMITED,34550U0Q3VH,FT-Funds Transfer,3535304608,CUSTOMER  WIRE TRANSFER
01/14/2026,01/14/2026,ZAR,"'-1,288.40",,ZA1ZGBS2601401LT,DE-Data Entry,126846039,MONTHLY CASH BILLING INVOICE PAID
01/14/2026,01/14/2026,ZAR,"1,288.40",,820 0201523001,DE-Data Entry,4106127879,TARGET BALANCING SWEEP (EOD)
2/06/2026,2/06/2026,ZAR,4000000,(CS)QPP50006S03730096455,FSK ELECTRAMECOR,FT-Funds Transfer,6037025864,INCOMING CLEARING TRANSFER
2/06/2026,2/06/2026,ZAR,'-4000000,,820 0201523001,DE-Data Entry,4118454626,TARGET BALANCING SWEEP (EOD)
02/27/2026,02/27/2026,ZAR,1250000,(CS)QPP50004S05831660323,FSK ELECTRAMECOR,FT-Funds Transfer,6058037764,INCOMING CLEARING TRANSFER
02/27/2026,02/27/2026,ZAR,'-6250000,,820 0201523001,DE-Data Entry,4128378533,TARGET BALANCING SWEEP (EOD)
02/27/2026,02/27/2026,ZAR,5000000,(CS)QPP50004S05831660323,FSK ELECTRAMECOR,FT-Funds Transfer,6058038036,INCOMING CLEARING TRANSFER
